Name;AMER.EXPRESS;AOL TIME WARNER;AT & T;BLACK & DECKER;COLGATE - PALM.;FORD MOTOR;MCDONALDS;PFIZER;TEXAS INSTS.;WAL MART STORES
Week105;0.085141903;0.150406504;0.080410822;-0.080399369;0.036682927;0.015833333;0.033176747;-0.034246575;0.089;-0.017109574
Week106;-0.044807692;-0.082968198;0.009738001;0.030285714;0.057594579;0.047579984;0.06933788;0.035460993;-0.063131313;0.092592593
Week107;-0.053754782;0.001849568;-0.021584386;0.038269551;0.050008898;0.071260767;-0.016741961;0.051506849;-0.019848076;0.036101695
Week108;0.035531915;-0.099076923;-0.036611124;0.048344017;0;0.089912281;-0.077567568;0.032569046;-0.11325;-0.018485195
Week109;-0.020546538;0.024590164;-0.083556638;-0.004840764;-0.031694915;0.012743125;0.049223557;0.058289175;0.021990414;-0.0385
Week110;0.083910216;0.006333333;-0.038809144;0.067332309;0.027306144;0;0.083775482;0.019313305;0.1;0
Week111;-0.066189278;-0.068400132;-0.195243363;-0.043415687;-0.046856364;-0.045364238;-0.078845658;0.005847953;-0.025830721;-0.109377708
Week112;0.025906736;-0.045511111;-0.074570447;0.037612839;0.075974258;0.005896635;0.068251748;-0.010232558;-0.098983138;0.089918256
Week113;0.046666667;0.031476998;0.031563312;0.026341228;-0.018773883;0.013103448;0.011521341;0.061795113;0.036142857;0.034642857
Week114;-0.056552789;-0.106175515;-0.078113751;-0.119849305;-0.051811717;-0.054799183;-0.034170334;0.011064395;-0.034882118;-0.050742147
Week115;0.102291326;0.076969697;0.027723545;-0.028624933;-0.048035714;-0.023406554;-0.045028143;-0.004158459;0.116142857;0.046545455
Week116;0.02190052;0.018758207;0.005319149;0.019003029;0.059838679;-0.009955752;-0.005332585;-0.027472527;0.046333035;-0.01181376
Week117;0.007991282;0.002393666;-0.034013605;-0.028648649;0.03539823;-0.061452514;-0.093397291;0.062146893;-0.01529052;-0.024261603
Week118;-0.037117117;0.037839824;0.057120501;-0.045353367;-0.042735043;-0.050396825;-0.021475257;-0.026595745;-0.010807453;-0.055135135
Week119;-0.018712575;-0.079646018;-0.107698001;0.113086564;0.013392857;0.03343084;-0.001908397;0.010928962;-0.131859852;0.032227307
Week120;-0.009534706;0.079423077;0.034840315;0.024613773;0.036299559;0.070764254;0.02581262;0.006702703;-0.034427889;0.056530575
Week121;0.057758953;0.043292357;0.018837675;0.00638896;-0.097772488;0.040785498;-0.027337683;-0.009235395;0.054382022;0.051407589
Week122;0.03858755;0.051229508;-0.016522423;-0.008125952;0.043724086;-0.017053701;0.012136698;-0.035334923;-0.065785735;-0.002161982
Week123;0.021906765;-0.125893437;-0.0396;-0.041474654;0.01805706;-0.010335917;0.015777848;0.002921348;-0.137794677;0
Week124;-0.005316412;-0.004645977;-0.04123282;-0.020032051;0;0.091010817;0.032929481;0.019493614;-0.033162815;-0.108333333
Week125;0.011896552;-0.033793876;0.010425717;0.057781412;-0.048776162;-0.004102564;-0.013233083;-0.064615385;0.083378945;-0.050280374
Week126;-0.003237349;0.062801932;0.042562339;0.08219531;-0.016408726;-0.071060762;-0.04754648;0.033834586;0.129336477;-0.015941744
Week127;-0.034188034;0.088727273;-0.027216495;-0.01047619;0.001137441;0.032520325;-0.03008;-0.019772727;0.035490605;-0.0188
Week128;0.046548673;-0.020875084;0.005934718;-0.036092397;-0.03540996;-0.134216178;-0.014186737;0.002782286;-0.036002304;-0.033020791
Week129;0.00304414;-0.035306157;-0.029919933;-0.013979031;0.046525324;0.074824308;-0.021084337;-0.069364162;-0.084105169;0.072512648
Week130;0.025290845;-0.013260255;0.053431798;-0.083797468;-0.113674733;-0.011923077;-0.083418803;0.028074534;-0.023324091;0.030660377
Week131;-0.042098339;0.007883892;-0.064329897;-0.058856038;-0.071322751;-0.034254574;0.051473331;0.052682455;-0.042919172;-0.027459954
Week132;0.046180258;-0.033777778;-0.045394447;0.01849677;0.075660893;0.010076582;0.070947144;0.00573921;-0.149363113;-0.057647059
Week133;0.000984575;0.131554738;0.004155125;-0.088209859;0.051059322;0.035115722;-0.001987413;0.021456289;0.001230769;-0.041614648
Week134;-0.149508197;-0.170731707;-0.173333333;-0.065444199;-0.016327353;-0.098689283;-0.058081646;-0.002681564;-0.189510346;-0.041901867
Week135;0.080570547;-0.109019608;0.03948832;0.099458728;0.029918033;0.096236099;-0.017618041;-0.036522518;0.156471183;0.083389984
Week136;-0.02889761;0.027728873;-0.120920278;0.005846154;0.104456825;-0.019508389;0.038020086;0.055348837;-0.032786885;-0.091403472
Week137;0.05859662;0.156316916;-0.011564212;0.164270419;0.051161953;0.037007561;0.103662751;-0.048259145;0.073446328;0.115101289
Week138;0.010758286;-0.024444444;-0.017241379;-0.059117183;0.00856898;-0.023791251;-0.005948654;0.033341051;-0.118315789;-0.027043765
Week139;-0.008583691;-0.072703113;-0.020676692;-0.050544541;0.000169924;-0.017295597;0.029606299;-0.029576518;0.110315186;0.023764057
Week140;-0.102857143;-0.159058342;-0.099168266;-0.055;0.005776419;-0.0476;0.047721016;-0.0071577;-0.10344086;-0.049119171
Week141;0.060413048;-0.011441091;0.049715909;0.126361656;-0.007601351;-0.04451911;-0.06919708;0.030465116;-0.105061166;0.137532694
Week142;-0.027302512;0.072395962;0.00338295;0.037855761;0.008510638;0.054945055;-0.051129235;-0.019634394;0.149289735;0.053841732
Week143;0.03742515;0.148105626;0.117329737;-0.136315229;-0.025147679;-0.03125;0.043305785;0.048802947;0.148554104;-0.071636364
Week144;-0.051948052;-0.2468;-0.224502112;0.096177559;0.05315097;0.040430108;0.035804816;-0.067164179;-0.109035533;0.013513514
Week145;0.02739726;-0.063993627;-0.007003891;0.107424072;0.060332073;0.002480364;0.03640257;0.076470588;0.133773929;0.022995169
Week146;0.003518519;0.196595745;0.239811912;0.014220416;-0.133023256;0.110927835;-0.025974026;-0.086120219;0.046432161;0.061390253
Week147;-0.116442148;0.119724988;0.106826802;0.032799199;0.040057225;0;-0.009393939;-0.019373356;-0.046676911;-0.075636234
Week148;0.036549708;0.053779378;0.056539121;0.039515152;-0.022008253;0.009279881;0.028754971;0.003170732;0.032641547;0.021563342
Week149;-0.065484586;0.120554551;-0.025405405;-0.021921642;0.025843882;0.031997058;-0.121022896;0.080476538;-0.179317073;0.017715793
